group_name,year,min_citations,author_count,work_count,n_subfields
Agriculture & Food Sci.,2016,cit5,285358,89591,10
Biomedical Eng.,2016,cit5,173628,52991,2
Business,2016,cit5,129897,68068,14
Civil & Env. Eng.,2016,cit5,111341,46017,4
Geosciences,2016,cit5,64478,23253,5
Ecology & Evolution,2016,cit5,207888,48590,2
Economics,2016,cit5,71516,38925,3
Environmental Science,2016,cit5,329146,117871,12
Materials Science,2016,cit5,301136,108493,8
Mathematics,2016,cit5,45563,29813,11
Microbiology & Immunology,2016,cit5,144656,28907,6
"Molecular Bio & Genetics",2016,cit5,624618,158597,9
Climate & Ocean Sci.,2016,cit5,66630,21663,2
Physics & Astronomy,2016,cit5,198768,79342,9
Psychology,2016,cit5,153308,64653,7
Public Health,2016,cit5,171535,43551,2
Computer Science,2016,cit5,246575,125405,11
Dentistry & Allied Health,2016,cit5,161276,51745,13
Computer & Electrical Eng.,2016,cit5,243661,96335,3
Humanities,2016,cit5,107070,69409,15
Neuroscience,2016,cit5,215872,60202,9
Medicine,2016,cit5,1181527,364179,39
Anthropology,2016,cit5,52461,36728,9
Chemistry & Chemical Eng.,2016,cit5,177473,62418,14
Mechanical & Aerospace Eng.,2016,cit5,236314,96109,5
Other Engineering,2016,cit5,70690,31410,3
Other Social Sci.,2016,cit5,35555,13909,5
Political Science & Sociology,2016,cit5,134530,89598,6
Chemistry & Chemical Eng.,2016,cit5,333446,123018,15
Ecology & Evolution,2016,cit5,115865,37646,3
Environmental Science,2016,cit5,322636,114067,11
Materials Science,2016,cit5,153103,47898,7
