nsf_field,finest_group
"Mathematics and statistics, other",Mathematics
Statistics,Mathematics
Applied mathematics,Mathematics
Mathematics,Mathematics
Chemistry,Chemistry & Chemical Eng.
Chemical and petroleum engineering,Chemistry & Chemical Eng.
Physics,Physics & Astronomy
Astronomy and astrophysics,Physics & Astronomy
Computer science,Computer Science
"Computer and information sciences, other",Computer Science
Electrical and computer engineering,Computer & Electrical Eng.
Mechanical engineering,Mechanical & Aerospace Eng.
"Aerospace, aeronautical, and astronautical engineering",Mechanical & Aerospace Eng.
"Civil, environmental, and transportation engineering",Civil & Env. Eng.
Bioengineering and biomedical engineering,Biomedical Eng.
Materials and mining engineering,Chemistry & Chemical Eng.
"Engineering, other",Other Engineering
Industrial engineering and operations research,Other Engineering
Geological sciences,Geosciences
"Ocean, marine, and atmospheric sciences",Climate & Ocean Sci.
Agricultural sciences,Agriculture & Food Sci.
Natural resources and conservation,Agriculture & Food Sci.
Molecular biology,Molecular Bio & Genetics
Genetics and genomics,Molecular Bio & Genetics
"Cellular and developmental biology, and anatomy",Molecular Bio & Genetics
Biochemistry and biophysics,Molecular Bio & Genetics
Microbiology and immunology,Microbiology & Immunology
Neurobiology and neurosciences,Neuroscience
"Ecology, evolutionary biology, and epidemiology",Ecology & Evolution
Public health,Public Health
Nursing science,Public Health
Pharmacology and toxicology,Medicine
Pharmaceutical sciences,Medicine
"Biology and biomedical sciences, general",Medicine
"Biology and biomedical sciences, other",Medicine
"Health sciences, other",Medicine
"Bioinformatics, biostatistics, and computational biology",Medicine
"Physiology, pathology, and cancer biology",Medicine
Clinical psychology,Psychology
Research and experimental psychology,Psychology
Counseling and applied psychology,Psychology
"Psychology, other",Psychology
Economics,Economics
Business,Business
Political science and government,Political Science & Sociology
Public administration and social services,Political Science & Sociology
Public policy analysis,Political Science & Sociology
"Sociology, demography, and population studies",Political Science & Sociology
Anthropology,Anthropology
"Social sciences, other",Other Social Sci.
